323,Vạn Mỹ
324," Lạc Viên"
325,Lạch Tray
326," Cầu Đất"
327,Đằng Giang
328,Lương Khánh Thiện
329,Máy Tơ
330,Lãm Hà
331,Đồng Hòa
332,Quán Trữ
333,Bắc Sơn
334,Trần Thành Ngọ
335,Nam Sơn
336,Ngọc Sơn
337,Tràng Minh
338,Phù Liễn
339,Văn Đẩu
340,Hoàng Văn Thụ
341,Hạ Lý
342,Quán Toan
343,Trại Chuối
344,Hùng Vương
345,Thượng Lý
346,Phạm Hồng Thái
347,Minh Khai
348,Phan Bội Châu
349,Quang Trung
350,Sở Dầu
351,Cát Bi
352,Đông Hải 1
353,Đông Hải 2
354," Đằng Hải"
355,Đằng Lâm
356,Nam Hải
357,Thành Tô
358,Tràng Cát
359,Núi Đối
360,Đông Phương
361,Đại Đồng
362,Hữu Bằng
363,Thuận Thiên
364,Du Lễ
365,Ngũ Phúc
366,Kiến Quốc
367,Thụy Hương
368,Thanh Sơn
369,Đại Hà
370,Ngũ Đoan
371,Tân Trào
372,Đoàn Xá
373,Đại Hợp
374,Tú Sơn
375,Tân Phong
376,Minh Tân
377,Núi Đèo
378,Minh Đức
379,Lại Xuân
380,An Sơn
381,Kỳ Sơn
382,Liên Khê
383,Trung Hà
384,Lưu Kiếm
385,Lưu Kỳ
386," Gia Minh"
387,Gia Đức
388,Minh Tân
389,Phù Ninh
390,Quảng Thanh
391,Chính Mỹ
392," Kênh Giang"
393,Hợp Thành
394," Cao Nhân"
395,Mỹ Đồng
396," Đông Sơn"
397," Hòa Bình"
398,An Lư
399,Thủy Triều
400,Ngũ Lão
401," Phục Lễ"
402," Tam Hưng"
403,Phả Lễ
404,Lập Lễ
405," Kiền Bái"
406,Thiên Hương
407,Thủy Sơn
408," Thủy Đường"
409,Hoàng Động
410," Lâm Động"
411,Hoa Động
412,Tân Dương
413,Dương Quan
414,An Lão
415,Trường Sơn
416,Bát Trang
417,Trường Thọ
418,Trường Thành
419,An Tiến
420,Quang Hưng
421,Quang Trung
422,Quốc Tuấn
424,Tân Dân
425,Thái Sơn
426,Tân Viên
427,Mỹ Đức
428,Chiến Thắng
429,An Thọ
430,An Thái
431,An Thắng
432,Cát Bà
433,Cát Hải
434,Nghĩa Lộ
435," Đồng Bài"
436,Hoàng Châu
437,Văn Phong
438,Phù Long
439,Gia Luận
440,Hiền Hào
441,Trân Châu
442,Việt Hải
443,Xuân Đám
444,Tiên Lãng
445,Đại Thắng
446,Tiên Cường
447,Tự Cường
448,Tiên Tiến
449,Quyết Tiến
450,Khởi Nghĩa
451,Tiên Thanh
452,Cấp Tiến
453,Kiến Thiết
454,Đoàn Lập
455,Bạch Đằng
456,Quang Phục
457,Toàn Thắng
458,Tiên Thắng
459,Tiên Minh
460,Bắc Hưng
461,Nam Hưng
462,Hùng Thắng
463,Tây Hưng
464," Đông Hưng"
465,Tiên Hưng
466,Vinh Quang
467,Vĩnh Bảo
468,Tam Đa
469,Nhân Hòa
470,Hưng Nhân
471,Giang Biên
472,Dũng Tiến
473,Việt Tiến
474,Vĩnh An
475,Vĩnh Long
476,Thắng Thủy
477,Trung Lập
478,Hiệp Hòa
479,An Hòa
480,Hùng Tiến
481,Tân Liên
482,Tân Hưng
483,Vinh Quang
484,Đồng Minh
485,Thanh Lương
486,Cộng Hiền
487,Tiền Phong
488,Vĩnh Phong
489,Cao Minh
490,Tam Cường
491,Liên Am
492,Cổ Am
493,Lý Học
494,Hòa Bình
495,Vĩnh Tiến
496,Trấn Dương
497,Bắc Hà
498," Nam Hà"
499,Trần Phú
500,Tân Giang
501,Hà Huy Tập
502,Đại Nài
503,Nguyễn Du
504," Văn Yên"
505," Thạch Quý"
506,Thạch Linh
507,Thạch Trung
508,Thạch Hạ
509,Thạch Môn
510,Thạch Đồng
511,Thạch Hưng
512,Thạch Bình
513,Cẩm Yên
514,Cẩm Hoà
515,Cẩm Dương
516,Cẩm Nam
517,Cẩm Huy
518,Cẩm Thăng
519,Cẩm Quang
520,Cẩm Bình
521,Cẩm Vịnh
522,Cẩm Thành
523,Cẩm thạch
524,Cẩm Duệ
525," Cẩm Mỹ"
526,Cẩm Quan
527,Cẩm Sơn
528,Cẩm Thịnh
529,Cẩm Hưng
530,Cẩm Hà
531,Cẩm Phúc
532," Cẩm Nhượng"
533," Cẩm Lộc"
534,Cẩm Lĩnh
535,Cẩm Trung
536,Cẩm Minh
537,Cẩm Lạc
538,Cẩm Xuyên
539,Thiên Cầm
540,Nghèn
541,Thiên Lộc
542,Thuần Thiện
543,Kim Lộc
544,Vượng Lộc
545,Thanh Lộc
546,Song Lộc
547,Thường Nga
548,Trường Lộc
549,Tùng Lộc
550,Yên Lộc
551,Phú Lộc
552,Khánh Lộc
553,Gia Hanh
554,Vĩnh Lộc
555,Tiến Lộc
556,Trung Lộc
557," Xuân Lộc"
558,Thượng Lộc
559,Đồng Lộc
560,Mỹ Lộc
561,Sơn Lộc
562,Quang Lộc
563,Đức Vịnh
564,Đức Quang
565,Đức Châu
566,Đức Tùng
567,Yên Hồ
568,Tùng Ảnh
569,Đức Lạng
570,Đức Đồng
571,Tân Hương
572,Đức Nhân
573,Đức Thủy
574,Thái Yên
575,Đức Thanh
576,Trung Lễ
577,Đức Lâm
578,Đức Dũng
579,Đức An
580,Đức Lập
582,Đức Lạc
583,Đức Long
584,Đức Hòa
585,Bùi Xá
586,Đức Yên
587,Trường Sơn
588,Liên Minh
589,Đức Thịnh
590,Đức La
591,Hương Trạch
592,Phúc Trạch
593,Hương Đô
594,Hương Trà
595,Hương Liên
596,Hương Lâm
597,Lộc Yên
598,Hương Xuân
599,Phú Phong
600,Hương Vĩnh
601,Phú Gia
602,Hương Long
603,Gia Phố
604,Hương Giang
605,Hương Thuỷ
606,Hương Bình
607," Phúc Đồng"
608,Hoà Hải
609,Hà Linh
610,Phương Điền
611,Phương Mỹ
612,Hương Khê
613,Phố Châu
614,Tây Sơn
615,Sơn Tây
616,Sơn Kim 1
617,Sơn Kim 2
618,Sơn Hồng
619,Sơn Lĩnh
620,Sơn Diệm
621,Sơn Quang
622,Sơn Giang
623,Sơn Lâm
624,Sơn Hàm
625,Sơn Trung
626,Sơn Phú
627,Sơn Trường
628," Sơn Phúc"
629,Sơn Mai
630,Sơn Thủy
631,Sơn Bằng
632,Sơn Ninh
633,Sơn Thịnh
634,Sơn Hòa
635,Sơn An
636,Sơn Lễ
637,Sơn Tiến
638,Sơn Châu
639,Sơn Bình
640,Sơn Hà
641,Sơn Trà
642,Sơn Long
643,Sơn Tân
644,Sơn Mỹ
645,Kỳ Anh
646,Kỳ Bắc
647," Kỳ Tiến"
648,Kỳ Xuân
649,Kỳ Giang
650,Kỳ Phú
651,Kỳ Phong
652,Kỳ Sơn
653,Kỳ Tây
654,Kỳ Hợp
655,Kỳ Lâm
656,Kỳ Khang
657,Kỳ Văn
658,Kỳ Lạc
659,Kỳ Hà
660,Kỳ Hưng
661,Kỳ Hải
662,Kỳ Châu
663,Kỳ Tân
664,Kỳ Hoa
665,Kỳ Thư
666,Kỳ Thọ
667," Kỳ Phương"
668," Kỳ Lợi"
669,Kỳ Liên
670,Kỳ Ninh
671,Kỳ Đồng
672," Kỳ Long"
673,Kỳ Trinh
674,Kỳ Thịnh
675,Kỳ Thượng
676,Kỳ Nam
677,Kỳ Trung
678,Ích Hậu
679,Phù Lưu
680,Hồng Lộc
681,Bình Lộc
682,Tân Lộc
683,An Lộc
684,Thịnh Lộc
685,Thạch Kim
686,Thạch Bằng
687,Hộ Độ
688,Mai Phụ
689,Thạch Mỹ
690,Thạch Châu
691,Xuân An
692,Nghi Xuân
693,Xuân Hội
694,Xuân Trường
695,Xuân Đan
696," Xuân Phổ"
697," Xuân Hải"
698,Xuân Yên
699,Tiên Điền
700,Xuân Giang
701,Xuân Mỹ
702,Xuân Thành
703,Xuân Hồng
704,Xuân Viên
705,Xuân Lam
706,Xuân Liên
707,Cổ Đạm
708,Cương Gián
709,Xuân Lĩnh
710,Thạch Liên
711,Thạch Kênh
712,Việt Xuyên
713,Thạch Sơn
714,Thạch Bàn
715,Phù Việt
716,Thạch Long
717,Thạch Khê
718,Thạch Đỉnh
719,Thạch Hải
720,Thạch Tiến
721,Thạch Thanh
722,Thạch Trị
723,Tượng Sơn
724,Thạch Lạc
725,Thạch Ngọc
726,Thạch Vĩnh
727,Thạch Lưu
728,Bắc Sơn
729,Thạch Đài
730,Thạch Hội
